region_id,actual,predicted,residual
89196dc73b7ffff,0.12240733484259178,-0.06773480027914047,0.19014213512173225
89196dbb5bbffff,0.132681926948495,-0.07193930447101593,0.20462123141951094
891f14da153ffff,0.14137887508460084,-0.086194708943367,0.22757358402796785
89196b84897ffff,0.09128555200527051,-0.14348207414150238,0.23476762614677288
891f14da143ffff,0.14154077451901947,-0.09418286383152008,0.23572363835053955
891fa4842abffff,-0.434743927230953,0.12139958143234253,-0.5561435086632955
891fa08609bffff,-0.436923019158448,0.11416083574295044,-0.5510838549013984
891fa4842afffff,-0.43474392723095306,0.0962643101811409,-0.5310082374120939
891fa550d27ffff,-0.42450189250998505,0.10383813828229904,-0.5283400307922841
891969c9d9bffff,-0.40584200071107496,0.11550949513912201,-0.521351495850197
