region_id,actual,predicted,residual
8919682e4dbffff,0.40042382463884363,0.07435519248247147,0.32606863215637216
891968219a7ffff,0.39531798441217,0.06551170349121094,0.32980628092095904
89196881863ffff,0.332866509118268,0.0014765774831175804,0.3313899316351504
89196b05c27ffff,0.307935489490213,-0.04942627251148224,0.3573617620016952
8919688527bffff,0.33029550389214,-0.03948065638542175,0.36977616027756177
8919698939bffff,-0.744336934925445,-0.03976679965853691,-0.704570135266908
89196989cdbffff,-0.684392671702321,0.01471094973385334,-0.6991036214361743
891f164aeb3ffff,-0.577401719651484,0.10013819485902786,-0.6775399145105119
891969891c3ffff,-0.623376412296067,0.00535926828160882,-0.6287356805776758
891969c60a7ffff,-0.649968047841112,-0.02648143470287323,-0.6234866131382387
