region_id,actual,predicted,residual
891fa5c23b7ffff,0.42335538165280606,0.10104681551456451,0.32230856613824155
891f1699867ffff,0.440227988600199,0.11161033809185028,0.32861765050834874
8919692eb17ffff,0.431919813021226,0.10202517360448837,0.32989463941673763
891969c5e17ffff,0.394552213605165,0.04911473020911217,0.34543748339605285
8919694b267ffff,0.43422158496229796,0.05269404500722885,0.3815275399550691
8919688cb97ffff,-0.42173188192565,0.044256165623664856,-0.46598804754931483
891fa5c93dbffff,-0.129632171910084,0.13019126653671265,-0.2598234384467967
891fa5c92a7ffff,-0.129632171910084,0.1292792111635208,-0.25891138307360484
891fa5c92afffff,-0.129632171910084,0.1188112199306488,-0.2484433918407328
891fa5508a3ffff,-0.0884226672465051,0.10385449230670929,-0.1922771595532144
