,lbm,fys,onv,soc,vrz,won
lbm,1.0,0.5952380952380953,0.3333333333333334,0.3571428571428572,-0.2380952380952381,0.3333333333333334
fys,0.5952380952380953,1.0,-0.5000000000000001,-0.4761904761904762,0.5476190476190477,-0.5000000000000001
onv,0.3333333333333334,-0.5000000000000001,1.0,0.9761904761904763,-0.9047619047619048,1.0
soc,0.3571428571428572,-0.4761904761904762,0.9761904761904763,1.0,-0.880952380952381,0.9761904761904763
vrz,-0.2380952380952381,0.5476190476190477,-0.9047619047619048,-0.880952380952381,1.0,-0.9047619047619048
won,0.3333333333333334,-0.5000000000000001,1.0,0.9761904761904763,-0.9047619047619048,1.0
