region_id,actual,predicted,residual
8919690a577ffff,0.4544931608262589,0.04438366740942001,0.4101094934168389
8919690a53bffff,0.500035396440913,0.06122251972556114,0.43881287671535185
89196bba15bffff,0.5641763653241968,0.03154304623603821,0.5326333190881586
89196bba1dbffff,0.5991017730905484,0.015407823026180267,0.5836939500643681
89196bba027ffff,0.885897056916263,0.0732923299074173,0.8126047270088457
89196933387ffff,-0.528664074166315,0.08638710528612137,-0.6150511794524364
89196933397ffff,-0.528664074166315,0.07868754863739014,-0.6073516228037051
8919693314bffff,-0.5286640741663149,0.029596004635095596,-0.5582600788014105
891fa5d8483ffff,-0.453287405992233,0.04602963849902153,-0.4993170444912545
8919694f22fffff,-0.388354979739124,0.1078762412071228,-0.4962312209462468
