region_id,actual,predicted,residual
891969535dbffff,0.6501999177142311,0.243219256401062,0.4069806613131691
891969535cfffff,0.6571632554504231,0.2476128339767456,0.4095504214736775
89196953517ffff,0.6492374979211303,0.23956185579299927,0.409675642128131
89196ba25a3ffff,0.4515067259394751,0.029446639120578766,0.42206008681889634
8919695358bffff,0.6838654451192198,0.2607364356517792,0.4231290094674406
89196b27373ffff,-0.17672794490255966,0.09922438859939575,-0.2759523335019554
891fa0a30cbffff,-0.10407892697958884,0.1691403090953827,-0.27321923607497156
89196d0ee8bffff,-0.1951877975854937,0.06839044392108917,-0.2635782415065829
89196b29147ffff,-0.26844366413633,-0.0118451789021492,-0.2565984852341808
891fa0a3043ffff,-0.12794527678673817,0.12741374969482422,-0.2553590264815624
