cluster,n_hex,lbm_mean,lbm_std,lbm_prank,fys_mean,fys_std,fys_prank,onv_mean,onv_std,onv_prank,soc_mean,soc_std,soc_prank,vrz_mean,vrz_std,vrz_prank,won_mean,won_std,won_prank,rank_by_lbm
7,4962,4.228935882154682,0.09955250657739981,1.0,-0.011518161997419323,0.0677002304172059,0.42857142857142855,0.10867157333457106,0.03911389122771831,1.0,0.10780050939693481,0.04085851970290873,1.0,-0.16807183626274957,0.05779701054643021,0.14285714285714285,0.0897889465396601,0.0454028931271388,1.0,0
6,16376,4.216285834913775,0.13401393900675343,1.0,0.000710590040985253,0.08029185291541935,0.8571428571428571,0.08147673439069267,0.06431369440117582,0.42857142857142855,0.08183841286281171,0.05558234550117476,0.42857142857142855,-0.11621806657129885,0.09691239067354722,0.5714285714285714,0.06621331304689829,0.05785332590025479,0.42857142857142855,1
5,31503,4.213093575714977,0.11786182732413025,0.7142857142857143,-0.01692388592396389,0.07570457156687654,0.0,0.09732986607279924,0.049747329177857964,0.8571428571428571,0.10254799821149393,0.04885405425323821,0.8571428571428571,-0.1516741756276818,0.07403806345698521,0.14285714285714285,0.07954892183864418,0.046830735632408464,0.8571428571428571,2
4,21178,4.21004905828922,0.10557408288080407,0.5714285714285714,-0.006889429598479181,0.06358528193815981,0.5714285714285714,0.09445606240413933,0.05009269879025001,0.7142857142857143,0.09092226398840783,0.04753820401345934,0.7142857142857143,-0.14785649198197798,0.0850637779755258,0.2857142857142857,0.07715180233344486,0.04563133167126445,0.7142857142857143,3
3,2609,4.207425984679995,0.151789113279646,0.42857142857142855,0.028088394280786057,0.0658047950890257,1.0,0.050129791513824476,0.07577620610292901,0.14285714285714285,0.039546046119146014,0.059353941899259285,0.14285714285714285,-0.04566755190510838,0.10788648513421562,1.0,0.0330644535276613,0.05119218585078293,0.0,4
2,5139,4.1975755270513355,0.12408302374735945,0.2857142857142857,-0.01239162019447788,0.07920079301424345,0.42857142857142855,0.08743922419028428,0.05659856800186081,0.5714285714285714,0.088808926218436,0.054538902583397414,0.7142857142857143,-0.14139893129783027,0.08788471457545366,0.42857142857142855,0.07285307699123833,0.05333423393425283,0.5714285714285714,5
1,8560,4.194628512694394,0.12603750732394126,0.14285714285714285,-0.014297499955624357,0.06295299769325761,0.14285714285714285,0.07648459222977798,0.0644993980048893,0.2857142857142857,0.07341473198834489,0.05783396156388538,0.2857142857142857,-0.10337841305810047,0.1030244911358799,0.7142857142857143,0.06014025034631079,0.05413523220718736,0.2857142857142857,6
0,40140,4.168781351381218,0.1287113206605358,0.14285714285714285,0.010282573651689834,0.046693123223321475,0.8571428571428571,0.049655572791443385,0.0729617160932206,0.0,0.03810245782815148,0.053955126959330996,0.0,-0.06616123875638732,0.11210287461409428,0.8571428571428571,0.03463713472263477,0.044866627209272494,0.2857142857142857,7
