resolution,hexagon_count,area_per_hex_km2,total_area_km2
10,6460557,0.012660876659069516,81796.31532588818
9,924348,0.08791542939410502,81264.45132958218
8,132603,0.6093069442669027,80795.9287306241
7,19139,4.539062830465603,86873.12351228118
6,2812,29.747421634428562,83649.74963601312
5,431,215.9017013206156,93053.63326918532
